,First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
0,Tom,Irwin,158.95,Sweden,Pistachio,0,0,0,4724
1,Brooke,Gilbert,181.87,Canada,Mint,0,2,0,12363
2,Morgan,Stein,154.82,Norway,Stracciatella,1,0,0,8394
3,Yolanda,Ponce,158.96,Norway,Mint,0,2,0,6773
4,Bridget,Hart,177.78,Brazil,Mint,0,2,0,4145
5,Raven,Wright,179.22,Australia,Chocolate,0,2,0,6780
6,Jose,Stein,170.38,Norway,Chocolate,0,2,0,8062
7,Chelsey,Villarreal,171.01,Denmark,Pistachio,0,1,0,10823
8,Keith,Dorsey,186.74,Sweden,Strawberry,0,2,0,2184
9,Breanna,Harrison,199.51,Italy,Stracciatella,1,1,0,8064
10,Holly,Winters,170.13,Canada,Mint,1,4,0,9232
11,Samantha,Small,166.93,Japan,Chocolate,1,0,0,4245
12,Leslie,Gilbert,174.81,Brazil,Mint,1,2,0,8910
13,Gina,Macdonald,168.33,UK,Strawberry,1,2,0,1945
14,Terrence,Schneider,166.39,Italy,Mint,1,2,0,3728
15,Dennis,Church,168.87,UK,Chocolate,1,1,0,7109
16,Kelly,Cox,182.86,Japan,Stracciatella,1,2,0,9075
17,Ricky,Baldwin,176.85,Sweden,Stracciatella,1,0,0,6767
18,Keith,Gomez,156.71,UK,Strawberry,0,4,0,10186
19,Lisa,Hopkins,175.42,Norway,Strawberry,1,2,0,19062
20,Ronnie,Brooks,164.16,Japan,Mint,1,4,0,6443
21,Rachel,Mcmahon,179.12,Sweden,Mint,0,0,0,8394
22,Jordan,Sims,166.9,Canada,Stracciatella,0,4,0,8741
23,Tyler,Gilbert,179.62,Finland,Strawberry,1,4,0,12321
24,Dennis,Arias,155.01,Canada,Mint,0,2,0,14143
25,Jack,Leblanc,176.58,Denmark,Strawberry,0,2,0,6943
26,Alicia,Morrow,176.29,Norway,Stracciatella,1,4,0,1341
27,Jake,Davidson,168.01,UK,Mint,1,3,0,8741
28,Jack,Jarvis,166.35,Brazil,Strawberry,0,0,0,8897
29,Mark,Huber,175.67,Finland,Mint,0,3,0,6094
30,Rachel,Hughes,160.13,Norway,Chocolate,0,2,0,10694
31,Maria,Moyer,178.66,Canada,Stracciatella,1,3,0,9629
32,Paige,Neal,156.91,Australia,Stracciatella,1,0,0,10694
33,Tricia,Acosta,163.09,UK,Strawberry,1,4,0,7793
34,Linda,Kemp,158.69,Sweden,Chocolate,0,0,0,1945
35,Dwayne,Combs,160.17,UK,Stracciatella,1,0,0,2722
36,Gina,Love,176.7,Canada,Pistachio,0,0,0,9249
37,Maurice,Dean,164.58,UK,Strawberry,1,1,0,10694
38,Andre,Baldwin,177.82,Finland,Chocolate,1,0,0,8741
39,Austin,Mullins,175.19,Sweden,Mint,0,2,0,8206
40,Breanna,Gill,186.29,Denmark,Mint,0,2,0,10809
41,Morgan,Cox,170.17,Australia,Chocolate,1,2,0,1768
42,Mary,Leon,173.39,Brazil,Strawberry,0,0,0,11852
43,Gina,Dudley,177.33,UK,Chocolate,1,2,0,2811
44,Olivia,Warren,165.91,Italy,Strawberry,0,2,0,14227
45,Raven,Hawkins,163.48,Canada,Mint,1,1,0,9420
46,Joe,Holder,153.78,Finland,Strawberry,0,2,0,8833
47,Mary,Holt,179.12,Sweden,Chocolate,0,1,0,10995
48,Cynthia,Holder,156.14,Sweden,Mint,1,2,0,5577
49,Melissa,Neal,155.44,Japan,Mint,0,0,0,10072
50,Christine,Vega,170.63,UK,Mint,0,0,0,9052
51,Jose,Huber,153.78,Norway,Mint,0,2,0,9698
52,Dylan,Curtis,181.21,Canada,Mint,0,2,0,6362
53,Joseph,Cooley,168.8,Canada,Strawberry,0,3,0,7557
54,Juan,Hogan,181.98,UK,Strawberry,1,0,0,7429
55,Megan,Rogers,153.96,UK,Strawberry,1,4,0,11100
56,Derrick,Salazar,173.85,Canada,Pistachio,0,0,0,14227
57,Gilbert,Brooks,184.03,Norway,Strawberry,0,2,0,5386
58,Christian,Barnes,163.36,Canada,Stracciatella,0,3,0,1093
59,Linda,Bell,171.67,Norway,Pistachio,0,2,0,13947
60,Desiree,Perry,176.28,UK,Strawberry,0,4,0,6932
61,Teresa,Herring,178.33,Finland,Strawberry,1,1,0,8105
62,Cynthia,Quinn,163.52,Finland,Mint,0,0,0,7315
63,Benjamin,Maddox,176.29,Brazil,Chocolate,0,0,0,13053
64,Erika,Gilbert,178.11,Sweden,Pistachio,1,4,0,8394
65,Cassandra,Mayo,156.93,Canada,Strawberry,0,0,0,9058
66,Raven,Bender,162.37,UK,Chocolate,0,2,0,7315
67,Haley,Mcmahon,172.21,Finland,Pistachio,1,2,0,6613
68,Benjamin,Gardner,174.79,Japan,Pistachio,0,0,0,4360
69,Jane,Jarvis,190.46,UK,Mint,1,2,0,6619
70,Rachel,Dean,182.01,Sweden,Mint,0,0,0,10922
71,Cameron,Manning,154.58,Sweden,Strawberry,0,0,0,13021
72,Alicia,Wall,178.73,UK,Mint,0,2,0,5894
73,Haley,Cuevas,184.03,Italy,Pistachio,1,1,0,9356
74,Gilbert,Morrow,159.95,Norway,Mint,0,2,0,7184
75,Bob,Bender,168.8,Sweden,Pistachio,0,3,0,6780
76,Jessica,Holder,176.18,Brazil,Chocolate,1,2,0,7128
77,Ricky,Stein,159.72,Finland,Pistachio,1,2,0,7827
78,Ethan,Carr,143.09,Denmark,Chocolate,1,0,0,8833
79,Annette,Salazar,170.63,Sweden,Strawberry,0,2,0,10595
80,Bryan,Gilbert,169.7,Brazil,Mint,0,2,0,6814
81,Ray,Williams,178.78,UK,Pistachio,1,2,0,8394
82,Patricia,Cooley,175.19,Canada,Mint,0,2,0,5893
83,Troy,Hawkins,181.39,Norway,Mint,1,1,0,12106
84,Carrie,Holder,189.44,Brazil,Stracciatella,0,0,0,4825
85,Jose,Leon,177.27,Norway,Mint,0,2,0,4806
86,Jose,Sanchez,176.04,Sweden,Strawberry,0,0,0,11100
87,Keith,Bender,163.54,Japan,Strawberry,1,2,0,9413
88,Candice,Jacobson,174.2,UK,Strawberry,0,3,0,10843
89,Johnny,Kemp,175.42,Denmark,Pistachio,1,1,0,7033
90,Christian,Davidson,162.86,Canada,Chocolate,1,0,0,5470
91,Mario,Jennings,149.7,Canada,Mint,0,2,0,5948
92,Mckenzie,Walker,184.03,Denmark,Chocolate,0,3,0,6680
93,Megan,Moyer,164.76,UK,Strawberry,0,2,0,6724
94,James,Kirby,179.17,Japan,Stracciatella,1,0,0,11088
95,Keith,Ritter,164.58,UK,Chocolate,1,3,0,4982
96,Alicia,Christensen,175.42,Norway,Chocolate,1,2,0,1093
97,Tim,Clarke,174.53,Norway,Mint,1,2,0,7279
98,Jordan,Hogan,177.4,Sweden,Stracciatella,1,1,0,9682
99,Randy,Holder,165.21,Norway,Mint,0,0,0,7749
100,Erika,Wall,163.52,Brazil,Mint,0,2,0,7315
101,Joel,Wiggins,167.89,Norway,Stracciatella,0,3,0,1068
102,William,Christensen,167.7,Canada,Strawberry,1,2,0,9698
103,Travis,Pacheco,163.86,Canada,Mint,1,0,0,13476
104,Shelia,Leon,163.11,Canada,Chocolate,0,2,0,7984
105,Jamie,Murphy,166.93,Sweden,Chocolate,1,0,0,8064
106,Annette,Warren,168.22,Norway,Strawberry,0,0,0,6429
107,Terrence,Cooley,187.52,Norway,Chocolate,1,2,0,10256
108,Javier,Perry,169.63,Sweden,Chocolate,1,4,0,9056
109,Joe,Gardner,157.31,Japan,Strawberry,0,0,0,10233
110,Mary,Leon,168.85,UK,Strawberry,0,2,0,8278
111,Maurice,Quinn,165.75,Canada,Chocolate,0,3,0,7793
112,Gary,Pena,161.51,UK,Stracciatella,0,0,0,11354
113,Jose,Villarreal,184.03,Japan,Strawberry,0,1,0,9056
114,Rachel,Hartman,172.08,Finland,Pistachio,0,0,0,8565
115,Cameron,Moore,164.95,UK,Stracciatella,1,0,0,2502
116,Alexa,Gordon,171.67,Denmark,Chocolate,1,2,0,8557
117,Gina,Davidson,153.04,Denmark,Strawberry,0,0,0,7465
118,Andre,Walters,173.84,Japan,Stracciatella,1,2,0,9500
119,Alan,Solomon,170.21,Japan,Mint,0,4,0,1945
120,Alan,Hopkins,182.11,Sweden,Strawberry,0,2,0,7465
121,Rachel,Walker,172.5,Italy,Chocolate,0,0,0,8579
122,Yvonne,Gilbert,173.36,Japan,Chocolate,0,0,0,11543
123,Stephen,Rodriguez,184.76,Canada,Strawberry,1,2,0,7465
124,Tim,Gray,172.82,Canada,Pistachio,0,0,0,8912
125,Lorraine,Strong,174.51,Canada,Mint,1,2,0,6416
126,Sarah,Williamson,174.51,Japan,Mint,0,0,0,8544
127,Claudia,Barton,145.35,Germany,Strawberry,1,2,0,10843
128,Joel,Cuevas,174.23,Denmark,Stracciatella,1,2,0,5302
