,First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
0,Tracy,Conway,173.98,Italy,Pistachio,0,2,0,3514
1,Joe,Wagner,184.63,Norway,Mint,1,2,0,7771
2,Ryan,Adams,169.94,China,Chocolate,1,1,0,11822
3,Charles,Dorsey,175.42,Japan,Vanilla,1,3,0,5647
4,Amber,Khan,175.12,France,Pistachio,1,3,0,15176
5,Erica,Townsend,186.99,Australia,Strawberry,0,0,0,3740
6,Tony,Ballard,183.35,USA,Stracciatella,0,1,1,9434
7,April,Richardson,163.77,Brazil,Stracciatella,0,1,0,15540
8,Andrew,Sanchez,172.49,USA,Strawberry,1,2,0,10548
9,Savannah,Bennett,169.96,Japan,Pistachio,0,1,0,11946
10,Chelsey,Ward,158.67,Denmark,Pistachio,0,2,1,5213
11,Anthony,Baker,167.34,Italy,Strawberry,0,0,0,4564
12,Alexander,Church,164.98,Japan,Chocolate,0,2,0,7517
13,Lisa,Evans,158.63,France,Pistachio,0,1,0,6943
14,Jose,Harris,179.41,Finland,Stracciatella,1,2,0,10487
15,Noah,Shelton,174.86,Brazil,Pistachio,0,2,0,11032
16,Thomas,Schneider,170.35,Brazil,Vanilla,0,0,0,5476
17,Jared,Werner,175.4,Norway,Mint,1,3,0,10974
18,Lorraine,Ballard,185.88,Sweden,Pistachio,1,1,0,13476
19,Yvonne,Valdez,179.48,Australia,Pistachio,0,0,0,12659
20,Heather,Smith,173.67,Japan,Chocolate,0,0,0,9476
21,Justin,Romero,179.41,Sweden,Stracciatella,1,3,0,12597
22,Lisa,Leonard,169.5,Finland,Strawberry,1,2,0,4986
23,Vanessa,Gutierrez,176.18,Denmark,Stracciatella,1,1,0,3781
24,Alison,Peters,177.94,Denmark,Strawberry,1,1,0,10669
25,Briana,Gonzales,173.64,Denmark,Mint,1,1,0,8082
26,Debbie,Soto,181.13,USA,Pistachio,1,3,0,9434
27,Yolanda,Allen,162.63,China,Stracciatella,0,1,0,6083
28,Stephanie,Hubbard,190.14,Sweden,Stracciatella,1,2,1,10530
29,Richard,Greene,187.61,Italy,Strawberry,0,3,0,9682
30,Tamara,Medina,174.31,Australia,Mint,0,0,0,9106
31,Jillian,Gutierrez,185.8,France,Vanilla,0,0,0,6534
32,Michael,Barry,178.1,Denmark,Vanilla,1,2,0,8780
33,Rachel,White,166.9,Italy,Chocolate,0,2,0,8794
34,Jasmine,Wright,174.29,Australia,Vanilla,0,3,1,5329
35,Brandon,Brown,175.08,China,Strawberry,0,0,0,8959
36,Leonard,Arnold,176.28,France,Stracciatella,0,1,0,2630
37,Douglas,Burton,186.99,Germany,Vanilla,0,0,0,6244
38,Tony,Ross,160.51,Finland,Chocolate,0,0,1,9143
39,Courtney,Madden,161.63,Denmark,Mint,1,0,0,15397
40,Jesse,Booker,163.48,France,Stracciatella,1,3,0,7791
41,Matthew,Caldwell,173.94,Australia,Mint,0,1,1,2553
42,Lisa,Cohen,173.59,Brazil,Pistachio,0,1,0,3964
43,Brandon,Maldonado,172.96,Brazil,Vanilla,0,0,0,10186
44,Beverly,Barry,155.44,USA,Mint,0,0,1,7546
45,Regina,Dominguez,178.01,Denmark,Pistachio,1,0,0,2832
46,Anthony,Ramsey,181.39,Japan,Pistachio,0,1,0,7884
47,Lauren,Clark,178.16,USA,Pistachio,0,0,0,11731
48,Kristen,Cruz,169.35,Denmark,Mint,1,0,0,1373
49,Kristopher,Myers,179.75,France,Mint,0,1,0,8530
50,Ashlee,Weber,164.94,Australia,Strawberry,0,0,1,9048
51,William,Welch,189.48,Canada,Mint,0,2,1,12771
52,Regina,Trevino,183.35,Canada,Mint,1,2,0,13993
53,Joseph,Perez,166.14,France,Stracciatella,0,0,0,6244
54,Debbie,Kennedy,161.92,Denmark,Chocolate,1,0,0,5968
55,Raymond,Price,167.7,China,Vanilla,0,1,0,8675
56,Lee,Grant,162.32,Norway,Stracciatella,1,2,0,4754
57,Anthony,Hicks,162.18,UK,Chocolate,0,0,1,5894
58,Jessica,Burton,153.12,Finland,Stracciatella,0,2,1,2630
59,Tanya,Morrison,136.13,China,Pistachio,0,1,0,3578
60,Suzanne,Roberts,179.22,Denmark,Mint,1,0,0,6821
61,Raymond,Lee,151.84,UK,Stracciatella,0,0,1,9961
62,Elizabeth,West,173.05,Sweden,Stracciatella,1,2,0,10902
63,Luke,Woods,175.08,UK,Strawberry,1,3,1,12317
64,Briana,Jacobs,170.82,Sweden,Pistachio,1,4,0,6128
65,Kaitlyn,Jordan,170.63,Denmark,Strawberry,1,3,1,7429
66,Hailey,Munoz,184.94,Sweden,Chocolate,1,1,0,10618
67,Hunter,Winters,191.16,Denmark,Strawberry,0,0,1,13993
68,Debbie,Boyle,166.01,Japan,Pistachio,0,4,1,8968
69,Danielle,Heath,167.28,Japan,Strawberry,1,0,0,13949
70,Savannah,Clark,178.11,Sweden,Mint,1,1,0,11959
71,Suzanne,Myers,157.64,Brazil,Stracciatella,0,0,0,9915
72,Chelsea,Cruz,163.28,Australia,Strawberry,0,0,0,7268
73,Erika,Anderson,180.63,Brazil,Vanilla,0,3,0,6358
74,David,Moore,152.07,Italy,Stracciatella,0,2,0,10626
75,Lonnie,Fuentes,180.11,Sweden,Mint,1,0,0,17501
76,Patricia,Leon,178.11,Brazil,Pistachio,1,0,0,16761
77,Erika,Campbell,185.61,France,Chocolate,1,1,0,11122
78,Amanda,Trevino,181.21,Australia,Strawberry,0,0,0,8530
79,Judy,Fuentes,184.06,Norway,Strawberry,1,1,0,10830
80,Joseph,Berry,166.28,Canada,Mint,1,7,1,10487
81,George,West,161.07,USA,Stracciatella,0,0,1,6934
82,Danielle,Anthony,178.73,Japan,Pistachio,1,2,0,2639
83,Bonnie,Simon,167.32,Germany,Pistachio,0,3,0,4986
84,Justin,Cruz,163.31,USA,Stracciatella,0,2,0,11262
85,Vanessa,Turner,157.2,Germany,Chocolate,0,2,0,8358
86,Kim,Patton,165.9,Italy,Vanilla,0,1,0,7268
87,Terri,Smith,179.48,Canada,Stracciatella,1,4,1,9148
88,Lauren,Nielsen,187.56,Brazil,Strawberry,1,0,0,5655
89,Jeffrey,Perez,169.96,Finland,Mint,1,3,0,1945
90,Gerald,Larson,167.15,Italy,Stracciatella,1,3,0,5541
91,Kristin,Smith,185.51,Denmark,Stracciatella,1,1,0,13476
92,Terri,Anderson,159.47,UK,Vanilla,1,1,1,11452
93,Kimberly,Baker,162.28,Norway,Mint,1,0,0,11116
94,Julie,Ross,172.72,China,Strawberry,0,1,0,3745
95,Sandy,Miller,172.58,Italy,Vanilla,1,0,0,6416
96,Judy,White,170.81,Norway,Stracciatella,1,2,0,9237
97,Alexandra,Lee,163.48,Canada,Strawberry,0,0,0,11116
98,Angelica,Obrien,164.25,Italy,Pistachio,0,1,0,11038
99,Gregory,Norton,173.96,UK,Stracciatella,0,0,1,6017
100,Greg,Allen,164.25,Sweden,Chocolate,1,3,0,7977
101,Kathryn,Patton,172.83,Brazil,Mint,0,4,0,5420
102,Craig,Harmon,173.32,Canada,Mint,0,4,1,11476
103,Julia,Rodriguez,168.33,UK,Pistachio,0,2,1,7135
104,Renee,Bates,166.39,Brazil,Strawberry,0,1,0,12606
105,Gabriel,Hicks,163.03,Denmark,Chocolate,1,1,0,11488
106,Joseph,Paul,165.9,Germany,Stracciatella,0,1,0,5747
107,Katherine,Soto,183.15,UK,Strawberry,0,2,1,7899
108,Courtney,Eaton,172.14,Brazil,Vanilla,1,0,0,10669
109,Ruth,Hebert,170.35,Australia,Strawberry,0,0,0,10902
110,Amy,Holder,183.15,Denmark,Vanilla,1,1,0,12363
111,Samantha,Hill,150.66,China,Pistachio,0,1,0,6826
112,Robert,Mora,175.08,Finland,Mint,1,2,1,10111
113,Anne,Camacho,156.7,Australia,Strawberry,0,1,1,2423
114,Cody,Nguyen,173.98,Australia,Chocolate,1,0,0,11454
115,Tricia,Valdez,170.38,China,Strawberry,0,0,0,9188
116,Kevin,Pineda,154.74,Finland,Vanilla,1,0,1,7792
117,Zoe,Moore,175.19,Japan,Pistachio,0,3,0,8373
118,Tamara,Moon,178.48,Australia,Chocolate,0,2,1,5420
119,Alex,Frederick,166.89,Japan,Strawberry,1,1,0,7633
120,Jane,Drake,166.15,Australia,Vanilla,0,0,0,13491
121,Samantha,Beck,150.66,Japan,Strawberry,0,1,0,4560
122,Jeffrey,Nichols,158.45,Japan,Chocolate,0,2,0,10385
123,Garrett,Villarreal,166.28,USA,Pistachio,0,2,0,8429
124,Jonathan,Cruz,170.11,Finland,Mint,0,1,1,5135
125,Richard,Townsend,169.13,Canada,Mint,0,0,0,3018
126,David,Hays,173.32,Finland,Stracciatella,1,3,1,11764
127,Chelsea,Sanders,172.72,Sweden,Pistachio,1,0,0,10454
128,Yvonne,Sherman,153.05,Sweden,Stracciatella,1,1,0,7524
129,John,Padilla,166.9,Japan,Stracciatella,0,0,0,9961
130,Andre,Jacobs,176.46,Germany,Chocolate,0,0,0,10809
131,Jeremiah,Gonzales,170.28,Australia,Vanilla,1,2,0,10487
132,Jeffrey,Sanchez,163.77,Denmark,Mint,1,0,0,6767
133,Desiree,Hays,173.64,USA,Mint,0,0,1,3740
134,Briana,Cruz,173.94,Japan,Vanilla,1,1,1,8713
135,Sarah,West,156.7,Japan,Strawberry,1,1,0,10233
136,Monica,Hardin,171.54,Canada,Pistachio,0,0,1,12822
137,Erin,Wright,171.54,Finland,Vanilla,1,1,0,3740
138,Leonard,Cruz,179.41,Finland,Strawberry,1,0,0,11212
139,Morgan,Montgomery,188.98,Canada,Vanilla,0,0,0,4254
140,Robert,Ross,171.56,USA,Pistachio,0,1,0,6668
141,Victoria,Miller,171.99,Italy,Pistachio,1,1,0,8698
142,Kristin,Dorsey,173.92,Finland,Vanilla,1,0,0,12423
143,Kim,Drake,165.08,USA,Mint,0,2,1,11752
144,Jonathon,Dorsey,179.48,Denmark,Stracciatella,1,2,0,3440
145,Steven,Vincent,160.81,Brazil,Strawberry,0,1,1,4884
146,Matthew,Gardner,177.47,Canada,Vanilla,1,1,1,11926
147,Andrea,Johnson,186.99,China,Mint,0,0,0,7576
148,Antonio,Noble,157.64,Canada,Stracciatella,1,4,0,5213
149,Anthony,Marks,165.06,Finland,Vanilla,1,1,0,12606
150,Gary,Ponce,173.28,Brazil,Stracciatella,0,2,0,10530
151,Jared,Cherry,159.53,Denmark,Pistachio,1,0,0,3808
152,Desiree,James,170.82,Canada,Chocolate,0,1,1,7899
153,Lindsey,Rowe,184.79,Brazil,Stracciatella,0,0,0,3279
154,Jonathon,Sanchez,176.98,France,Mint,0,1,1,3514
155,Theodore,Moore,179.25,UK,Mint,0,0,1,7884
156,Alex,Peterson,173.32,Finland,Mint,1,1,0,6701
157,Tony,Wright,175.08,Denmark,Vanilla,1,0,0,6358
158,Erica,Calderon,172.17,Finland,Strawberry,1,1,1,7113
159,Angela,Harper,153.97,Italy,Vanilla,0,0,0,10454
160,Amy,Berry,178.25,France,Strawberry,0,0,0,3018
161,Cynthia,Frazier,160.34,France,Vanilla,0,0,1,7619
162,Beverly,Green,152.15,Sweden,Stracciatella,1,2,0,3377
163,Evan,Cruz,162.32,Finland,Mint,1,7,0,5863
164,Brian,Mcintosh,168.0,China,Vanilla,0,1,0,10769
165,Carrie,Caldwell,166.35,Denmark,Pistachio,1,0,0,10432
166,April,Coleman,169.92,Italy,Pistachio,0,1,0,8948
167,Brent,Adams,167.28,Germany,Stracciatella,0,1,0,10186
168,Kylie,Pruitt,168.83,Australia,Mint,0,2,0,11078
169,Lorraine,Mckenzie,173.34,Canada,Strawberry,0,2,0,11652
170,Kristie,Simmons,177.47,Italy,Vanilla,1,0,1,12097
171,Lawrence,Romero,143.09,Germany,Mint,0,2,0,11038
172,Anthony,Flores,173.67,UK,Pistachio,0,0,1,11853
173,Ruth,Smith,143.09,Germany,Stracciatella,0,1,0,1693
174,Gerald,Harper,179.92,Finland,Stracciatella,1,3,0,13476
175,Richard,Berry,178.56,Brazil,Vanilla,0,3,0,7192
176,Raymond,Holder,168.83,USA,Mint,1,1,0,10809
177,Brian,Benjamin,168.05,France,Strawberry,0,0,0,10178
178,Victoria,Vincent,179.75,Germany,Vanilla,1,0,0,5213
179,Kenneth,Armstrong,168.84,Japan,Mint,1,2,0,7113
180,Valerie,Newman,176.28,Sweden,Stracciatella,1,1,0,6900
181,Jeffrey,Marks,177.6,Australia,Strawberry,0,0,0,7113
182,Collin,Ibarra,178.24,Australia,Pistachio,0,0,0,3740
183,Stephanie,Lin,151.46,Finland,Stracciatella,1,0,0,6083
184,Brent,Prince,184.94,UK,Stracciatella,0,1,1,8167
185,Brandon,Coleman,176.52,France,Chocolate,0,3,0,7633
186,Kathryn,Ward,163.9,Brazil,Mint,0,1,0,5353
187,Sarah,Ponce,183.26,Norway,Strawberry,1,1,0,9777
188,Courtney,Gonzales,156.88,Germany,Pistachio,0,0,0,4884
189,Elizabeth,Sherman,154.16,Finland,Chocolate,1,0,0,14068
190,Theodore,Nelson,167.34,China,Pistachio,0,0,0,12771
191,Amanda,Hays,183.9,Germany,Chocolate,0,1,1,12659
192,Leslie,Gutierrez,178.11,Italy,Vanilla,0,3,0,11283
193,Raymond,Hogan,179.22,Brazil,Mint,0,4,0,11265
194,Ryan,Martin,160.21,Sweden,Chocolate,1,2,0,3018
195,Erica,Mercado,175.12,Denmark,Mint,1,3,0,11283
196,Dustin,Perez,172.21,Japan,Pistachio,0,2,0,10882
197,Tony,Costa,182.76,Italy,Vanilla,1,0,0,1768
198,Amber,Ramsey,165.24,Norway,Mint,1,1,0,8566
199,Todd,Nichols,150.82,Japan,Strawberry,0,3,0,10279
200,Matthew,Fuentes,172.29,France,Vanilla,0,0,1,10256
201,Victoria,Soto,171.6,UK,Pistachio,0,4,1,7509
202,Dakota,Espinoza,180.5,USA,Pistachio,0,2,0,5698
203,Amy,Werner,175.48,Italy,Strawberry,0,3,0,7979
204,Ronald,Mccall,171.82,Japan,Strawberry,0,0,1,11852
205,Debbie,White,148.07,China,Pistachio,0,0,0,4469
206,Carrie,Martin,150.29,Sweden,Stracciatella,1,2,0,7470
207,Emily,Simon,155.31,USA,Strawberry,0,3,1,8430
208,Courtney,Nash,180.63,Canada,Pistachio,0,1,0,8278
209,Julia,Houston,150.26,UK,Pistachio,0,3,1,12881
210,Carla,Crawford,169.92,Finland,Vanilla,0,0,1,6701
211,Erica,Mercer,171.99,China,Mint,0,0,0,6582
212,John,Jones,177.79,UK,Pistachio,0,0,1,6613
213,Tony,Morse,178.86,Australia,Pistachio,1,0,0,10116
214,Nicholas,Church,153.05,Japan,Stracciatella,0,1,0,10669
215,Brent,Lewis,185.08,Japan,Vanilla,0,1,0,11116
216,Jason,Myers,166.56,China,Mint,0,1,1,8062
217,David,Nichols,153.12,Sweden,Strawberry,1,0,0,6511
218,Monica,Boyle,183.24,Germany,Pistachio,0,1,0,8794
219,Kayla,Wright,173.32,UK,Chocolate,0,1,1,9489
220,Luke,Copeland,180.63,Canada,Vanilla,1,4,0,3740
221,Ryan,Baker,165.13,Australia,Stracciatella,0,1,0,7268
222,Alec,Rice,170.49,Denmark,Pistachio,1,3,0,15176
223,Jessica,Jacobson,177.45,Brazil,Stracciatella,1,1,1,4594
224,Tricia,Hess,174.07,France,Strawberry,0,1,0,3178
225,Michael,Espinoza,164.25,Finland,Mint,1,2,0,4286
226,Samantha,Santos,184.61,Norway,Strawberry,1,1,0,7867
227,Kari,Soto,183.49,China,Chocolate,0,1,0,11086
228,Brandon,Taylor,165.24,Finland,Pistachio,1,2,0,5989
229,John,Cummings,167.87,Germany,Stracciatella,0,1,0,6567
230,Kenneth,Johnson,165.5,Canada,Vanilla,1,5,0,7186
231,Terri,Anthony,160.51,Brazil,Strawberry,0,0,0,7899
232,Victoria,Espinoza,148.07,Norway,Stracciatella,1,0,1,9915
233,Anthony,Ballard,177.27,Norway,Pistachio,1,0,0,5135
234,Kristopher,Roberson,183.65,Finland,Chocolate,1,1,0,2630
235,James,Keith,153.87,Japan,Chocolate,0,2,0,8427
236,James,Oconnor,174.41,Brazil,Pistachio,1,4,0,8566
237,Harry,Keith,168.73,China,Chocolate,1,0,0,9237
238,Roger,Frazier,150.66,Brazil,Chocolate,1,1,0,2832
239,Jennifer,Baker,168.36,Finland,Strawberry,0,0,1,7749
240,Jeffrey,Church,169.96,China,Stracciatella,0,1,0,10809
241,Matthew,Woods,171.33,Australia,Strawberry,0,1,0,4884
242,Alex,Levy,159.96,Finland,Mint,1,5,0,7320
243,Louis,Sanchez,170.02,Denmark,Stracciatella,1,1,0,7528
244,Jeffrey,Burgess,160.51,Brazil,Pistachio,0,0,0,3377
245,Tony,Hendrix,179.48,UK,Strawberry,0,1,1,5210
246,Tonya,Smith,177.7,Denmark,Pistachio,0,4,0,8948
247,Jessica,Valdez,155.31,Japan,Strawberry,0,0,0,5190
248,Lauren,Wright,172.29,Canada,Stracciatella,0,1,1,12819
249,Jesse,West,171.82,Sweden,Chocolate,0,2,0,6582
250,Sean,Torres,145.97,Japan,Mint,0,2,1,9853
251,Ryan,Valdez,176.85,Denmark,Stracciatella,1,1,0,7950
252,Hunter,Hays,164.79,Norway,Pistachio,1,3,0,4560
253,Kristie,Solis,167.93,Finland,Strawberry,1,2,0,8083
254,Breanna,Valdez,155.72,Italy,Strawberry,1,0,0,3178
255,Carrie,Underwood,164.46,Brazil,Mint,1,2,1,1696
256,Theodore,Wright,168.54,Brazil,Stracciatella,0,4,0,1000
257,Amy,Mays,178.1,Denmark,Mint,0,1,1,9071
258,John,Stevens,173.75,Sweden,Stracciatella,1,0,0,8638
259,Victoria,Saunders,183.35,Canada,Vanilla,0,3,0,9237
260,Andre,Fleming,178.01,Japan,Vanilla,1,1,1,10487
