,First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
0,Dustin,Duarte,150.32,USA,Strawberry,1,2,1,13917.0
1,Melissa,Ryan,152.82,Denmark,Strawberry,0,7,1,12739.0
2,Daniel,Keith,182.66,Germany,Stracciatella,0,1,0,7078.0
3,Christopher,Watts,195.36,Sweden,Vanilla,1,7,0,16133.0
4,Haley,Peters,144.32,USA,Mint,0,2,0,8573.0
5,Katelyn,Downs,139.95,Sweden,Vanilla,1,2,1,6823.0
6,Cindy,Wilkins,185.65,France,Stracciatella,1,4,0,10243.0
7,Alfred,Shannon,173.94,Italy,Pistachio,0,2,0,3832.0
8,Edwin,Cook,193.64,Canada,Strawberry,0,6,1,15298.0
9,Marcia,Simon,157.39,Australia,Mint,1,3,0,8877.0
10,Cheryl,Serrano,137.81,Canada,Strawberry,0,4,1,12300.0
11,Brittany,Jensen,170.58,Norway,Mint,0,4,0,8061.0
12,Sandra,Harrell,179.53,Finland,Mint,1,6,0,11771.0
13,Sonia,Malone,158.82,France,Chocolate,0,1,0,4074.0
14,Tonya,Cantu,174.01,Canada,Mint,1,2,0,12029.0
15,Hector,Walker,150.32,Italy,Mint,1,7,1,13685.0
16,George,Adams,170.92,France,Pistachio,1,5,0,17144.0
17,Shelley,Gregory,198.84,Japan,Vanilla,0,0,1,9649.0
18,Joel,Morton,201.84,Canada,Strawberry,1,6,1,14910.0
19,Erin,Quinn,144.63,Japan,Pistachio,0,0,1,10004.0
20,Heather,Osborne,170.9,Sweden,Vanilla,0,5,1,7289.0
21,Leslie,Cantu,146.71,Denmark,Stracciatella,1,2,0,12115.0
22,Tammy,Butler,166.92,Canada,Chocolate,1,2,0,11945.0
23,Rebekah,Richardson,190.44,Japan,Strawberry,1,1,1,7654.0
24,Colleen,Herrera,170.87,Denmark,Stracciatella,0,3,1,10512.0
25,Calvin,Cline,144.13,China,Vanilla,0,6,1,14560.0
26,Laura,Fisher,178.49,Norway,Stracciatella,1,1,0,10611.0
27,Haley,Pierce,202.66,Japan,Pistachio,1,7,1,9977.0
28,Katie,English,157.86,Canada,Pistachio,1,5,1,11610.0
29,Laura,Bruce,162.69,Finland,Strawberry,1,2,1,14387.0
30,Tommy,Santos,150.66,Finland,Strawberry,1,6,1,12148.0
31,Jack,Hickman,153.36,Germany,Stracciatella,1,5,0,10543.0
32,Joshua,Wyatt,151.79,Germany,Stracciatella,1,4,1,5138.0
33,Brett,Smith,168.52,Norway,Strawberry,1,3,1,2051.0
