First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Bethany,Parsons,154.4,Sweden,Pistachio,1,5,1,6850.0
Tyler,Leonard,189.45,Italy,Stracciatella,0,0,0,14858.0
Toni,Valenzuela,162.71,Norway,Pistachio,1,4,1,1472.0
Trevor,Simpson,171.05,France,Stracciatella,1,4,1,12817.0
Ellen,Mathis,185.73,Australia,Chocolate,0,6,0,13081.0
Bradley,Malone,193.56,Sweden,Chocolate,1,7,0,10911.0
Dustin,Brennan,161.72,Finland,Vanilla,1,0,1,9303.0
Randy,Moore,166.0,Finland,Vanilla,1,1,1,13822.0
Debra,Black,153.24,Finland,Strawberry,1,0,1,10052.0
Sara,Graves,170.44,Sweden,Pistachio,0,0,1,10371.0
Jason,Winters,152.41,China,Chocolate,0,5,0,7632.0
Marcia,Cannon,147.59,France,Strawberry,0,1,1,17613.0
Lori,Miles,171.62,USA,Vanilla,0,3,0,14065.0
Briana,Dunn,182.53,China,Chocolate,0,6,0,5264.0
Dylan,Perez,163.87,Canada,Chocolate,0,5,0,2376.0
Charlene,Neal,151.94,Denmark,Mint,1,3,1,13596.0
Meredith,Burnett,173.59,China,Chocolate,1,7,0,2109.0
Tony,Larson,149.77,Australia,Chocolate,1,0,0,6973.0
William,Harrell,154.66,Denmark,Mint,1,0,0,16545.0
Travis,Burgess,148.1,Finland,Vanilla,0,6,1,6124.0
Alicia,Reese,144.38,China,Chocolate,1,6,0,9732.0
Kyle,Petty,154.21,Canada,Strawberry,0,1,1,1252.0
Gordon,Walton,149.83,Finland,Vanilla,1,1,1,1963.0
Regina,Graves,197.11,UK,Mint,0,1,1,3873.0
Melanie,Schultz,161.71,USA,Vanilla,1,2,0,6033.0
Alex,Wells,147.39,Denmark,Mint,0,1,1,7260.0
Jasmine,Fisher,144.37,Canada,Chocolate,0,5,0,3816.0
Earl,Page,161.1,Canada,Chocolate,0,6,0,14630.0
Kim,Montes,193.79,Finland,Pistachio,0,0,0,5842.0
Lynn,Thompson,144.41,China,Chocolate,0,5,0,1286.0
Rickey,Houston,199.33,UK,Mint,1,3,1,5054.0
Ruben,Boyle,144.52,Sweden,Pistachio,1,4,1,12486.0
Megan,Atkinson,181.79,Denmark,Mint,0,2,0,17321.0
Carl,Marshall,182.94,Canada,Chocolate,0,6,0,14937.0
Tyler,Rice,186.72,Sweden,Chocolate,1,7,1,16503.0
Jenna,Stuart,175.62,Sweden,Chocolate,0,3,1,12105.0
William,Harvey,196.28,China,Stracciatella,0,0,1,3040.0
Sherry,Davidson,193.59,USA,Stracciatella,1,1,0,14538.0
Lisa,Richardson,152.21,Sweden,Strawberry,0,5,0,4264.0
Debbie,Duncan,159.19,Sweden,Stracciatella,0,7,0,13380.0
Brent,Payne,183.95,Australia,Chocolate,1,7,0,11688.0
Douglas,Doyle,171.58,China,Vanilla,1,1,1,11894.0
Krista,Stewart,198.31,China,Chocolate,1,6,0,1233.0
