First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Toni,Bowman,195.22,Sweden,Strawberry,1,1,0,15944.0
Heidi,Barrera,188.92,France,Strawberry,0,5,0,9032.0
Leah,Patrick,145.43,Australia,Chocolate,0,4,1,2640.0
Christine,Medina,184.5,China,Vanilla,1,3,0,5072.0
Denise,Lucas,201.5,Italy,Vanilla,0,1,1,15354.0
Suzanne,Mcgee,157.39,France,Pistachio,1,7,1,7997.0
Shelley,Collins,197.41,Brazil,Chocolate,1,4,1,17750.0
Andrew,Golden,184.69,China,Chocolate,1,2,1,6213.0
Chase,Fields,172.5,France,Mint,0,3,0,7661.0
George,Cross,191.15,Finland,Vanilla,0,5,1,4166.0
Brent,Ryan,143.58,Germany,Vanilla,0,1,0,14859.0
Lawrence,Kennedy,174.03,Canada,Pistachio,0,1,1,4450.0
Caitlin,Saunders,160.52,Australia,Stracciatella,1,4,0,4125.0
Tanya,King,185.48,France,Mint,0,3,0,10764.0
Andrea,Pearson,161.58,China,Pistachio,1,3,1,5681.0
Marcia,Guerrero,146.46,UK,Chocolate,0,6,0,8608.0
Jillian,Casey,150.62,France,Stracciatella,1,5,0,17720.0
Lori,Vega,183.89,USA,Pistachio,0,6,0,6622.0
Heather,Middleton,202.23,China,Chocolate,1,6,0,5641.0
Tommy,Griffith,169.68,UK,Pistachio,1,6,0,10559.0
Latoya,Hanson,148.46,Italy,Pistachio,1,5,1,16151.0
Tasha,Kirk,192.5,China,Stracciatella,1,1,1,15188.0
Melvin,Francis,188.44,Brazil,Strawberry,1,3,1,5764.0
Colleen,Rosario,137.43,Brazil,Vanilla,1,7,0,7779.0
Jimmy,Friedman,160.23,Brazil,Strawberry,0,3,1,12368.0
Johnny,Robinson,160.33,Denmark,Vanilla,1,3,0,6774.0
Melinda,Woods,148.29,Canada,Strawberry,1,7,1,18026.0
Miranda,Stuart,188.54,China,Mint,0,7,0,14787.0
Deborah,Daniels,191.88,UK,Mint,1,4,0,1896.0
Connie,Whitney,152.55,Germany,Strawberry,0,1,1,4249.0
Derek,Rodriguez,158.06,Japan,Chocolate,1,5,1,6397.0
Ronald,Bailey,153.0,Italy,Strawberry,1,3,0,8016.0
Leslie,Schneider,202.53,Japan,Pistachio,0,1,1,9198.0
Amy,Murray,137.56,Denmark,Vanilla,0,4,0,9466.0
Joy,Ramsey,140.24,Brazil,Pistachio,1,1,1,6440.0
Jenny,Spence,173.5,Norway,Chocolate,0,0,1,13837.0
Andrea,Roberson,143.24,UK,Stracciatella,0,1,0,12959.0
Amber,Wagner,171.53,Norway,Pistachio,0,0,1,12425.0
Erica,Bartlett,192.1,Sweden,Chocolate,1,4,0,13739.0
Bryan,Sparks,159.41,USA,Stracciatella,0,5,1,9090.0
Kelsey,Watson,166.2,Sweden,Strawberry,0,5,0,5610.0
Wesley,Cohen,151.64,Finland,Vanilla,1,0,0,11578.0
Rachel,Houston,180.07,Australia,Vanilla,1,1,0,9994.0
Sara,Sandoval,142.35,Germany,Mint,0,6,0,9844.0
Carol,Pena,184.81,Japan,Pistachio,0,0,0,7321.0
Elizabeth,Mcdaniel,138.34,Denmark,Pistachio,1,3,1,17590.0
Cassandra,Juarez,197.57,Brazil,Mint,0,7,1,16551.0
Miranda,Hayes,194.97,Germany,Pistachio,1,2,0,8443.0
Anthony,Burton,169.3,Sweden,Chocolate,1,6,1,11564.0
Diana,Dixon,200.0,France,Pistachio,1,4,0,13745.0
Diane,Santos,184.83,Denmark,Strawberry,1,4,1,4172.0
Zoe,Thompson,152.29,Japan,Stracciatella,1,3,0,5894.0
Gordon,Harrington,146.96,Australia,Vanilla,1,4,0,11442.0
John,Garza,153.4,USA,Chocolate,0,2,0,5966.0
April,Poole,177.75,Australia,Strawberry,0,5,0,9264.0
Jimmy,Barnes,199.22,Canada,Mint,0,5,0,14177.0
Carl,Melton,189.67,China,Stracciatella,1,0,0,9493.0
Gordon,Gillespie,162.61,Finland,Mint,0,7,1,6567.0
Daniel,Wolf,151.97,Finland,Vanilla,1,2,1,3551.0
Erin,West,171.28,Sweden,Vanilla,1,3,0,8701.0
Rebekah,Sims,178.65,Italy,Vanilla,0,2,0,16443.0
Victor,Hinton,202.38,Japan,Stracciatella,0,0,1,16925.0
Sarah,Russo,186.38,UK,Chocolate,1,1,0,8459.0
Anna,Hubbard,161.06,Germany,Mint,0,7,1,8881.0
Betty,Jackson,198.69,Japan,Strawberry,1,4,0,8637.0
Debbie,Golden,144.36,Denmark,Mint,0,2,1,3469.0
Johnny,Pierce,178.69,France,Pistachio,0,6,1,9877.0
Kathleen,Walker,180.32,Sweden,Stracciatella,1,1,1,15102.0
William,Kelley,181.6,Finland,Pistachio,0,5,0,13947.0
Erica,Kirk,191.5,China,Pistachio,1,3,1,4871.0
Donald,Kline,162.85,Japan,Stracciatella,1,0,0,8043.0
Anthony,Reyes,138.68,Australia,Vanilla,0,0,0,14438.0
Jenny,Nguyen,176.1,Norway,Chocolate,1,1,1,12242.0
Cody,Bond,172.81,Finland,Vanilla,0,7,1,14022.0
Hannah,Payne,158.44,Italy,Strawberry,0,7,0,16480.0
Margaret,Ruiz,154.58,Italy,Pistachio,0,5,1,17106.0
Rebekah,Gordon,167.13,China,Vanilla,0,7,0,3093.0
Madison,Simmons,178.37,Denmark,Chocolate,0,1,1,11263.0
Mary,Mccann,143.49,Germany,Mint,0,1,0,5552.0
Lawrence,Ellis,197.61,USA,Vanilla,0,5,1,17429.0
William,Norris,167.04,Denmark,Chocolate,1,4,0,17704.0
Samantha,Morrow,152.04,Brazil,Mint,0,6,1,16673.0
Ronald,Nash,173.1,Finland,Mint,0,1,0,4622.0
Edwin,Clements,170.87,China,Strawberry,0,2,1,9683.0
Christopher,Newton,200.08,Australia,Chocolate,0,0,0,6196.0
Theresa,Cantrell,153.43,Canada,Vanilla,1,0,1,4793.0
Dorothy,Garcia,143.04,Australia,Stracciatella,1,7,1,14783.0
Trevor,Walton,149.0,France,Vanilla,1,6,0,9488.0
Luke,Moreno,193.42,Italy,Stracciatella,0,2,0,9730.0
Michelle,Navarro,199.68,Italy,Pistachio,0,4,0,16373.0
Brittany,Roberson,198.57,Brazil,Stracciatella,0,5,1,6649.0
Julie,Woodward,157.19,Sweden,Pistachio,1,1,0,17311.0
Cindy,Rice,161.33,Canada,Pistachio,1,3,1,11769.0
Kimberly,Lee,144.3,Sweden,Vanilla,1,7,0,15344.0
Jane,Berry,191.33,Brazil,Strawberry,0,5,1,14737.0
Scott,Roberts,169.74,Germany,Strawberry,1,0,0,11659.0
Anthony,Cooke,199.46,Norway,Stracciatella,1,5,0,5986.0
