First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Michelle,Hubbard,174.63,Italy,Vanilla,0,3,0,10842
Phyllis,Reese,156.19,Denmark,Strawberry,1,1,0,10024
Caleb,Moreno,172.21,Norway,Chocolate,1,4,0,9059
Ronald,Whitaker,158.49,Norway,Stracciatella,1,2,0,2821
Aimee,Wolf,160.35,Australia,Strawberry,1,2,0,9981
Kevin,Ayala,163.48,Australia,Strawberry,1,0,0,7557
Kathy,Peterson,170.45,Japan,Stracciatella,0,0,0,11448
Stephanie,David,173.74,Italy,Stracciatella,0,0,0,11673
Paul,Nichols,165.91,Italy,Mint,0,2,0,14969
Sandra,Lawrence,166.35,Canada,Pistachio,0,0,0,6886
Heather,Hicks,164.97,Sweden,Pistachio,1,3,1,5333
Jason,Johnson,180.48,Brazil,Mint,0,0,0,7520
Heather,Graham,141.47,Finland,Strawberry,1,2,0,6999
Brian,Klein,166.91,Denmark,Chocolate,1,3,0,10655
Douglas,Robinson,185.45,Italy,Strawberry,0,3,0,8300
Alexis,Luna,175.17,USA,Strawberry,0,0,0,7358
William,Jones,182.67,Norway,Vanilla,1,1,0,6109
Joseph,Burgess,149.66,China,Mint,0,0,0,5797
Edward,Patterson,157.58,Sweden,Strawberry,1,2,0,9401
Tiffany,Carter,175.14,Norway,Mint,1,2,1,6367
Timothy,Lopez,185.51,France,Chocolate,0,1,0,6473
Brian,Burton,158.59,Finland,Pistachio,0,3,1,1000
April,Murphy,166.12,Italy,Stracciatella,0,0,0,5575
Norma,Wallace,174.01,Japan,Stracciatella,0,4,0,7253
Dillon,Branch,155.48,Italy,Stracciatella,0,2,0,1000
Sarah,Hunt,175.22,Germany,Vanilla,0,1,0,8891
Justin,Mcdaniel,143.24,UK,Stracciatella,0,3,1,7058
Caitlyn,Martin,174.92,UK,Chocolate,0,5,1,7221
Tommy,Wilson,160.05,France,Vanilla,1,3,0,6378
Heather,Perry,165.52,Sweden,Pistachio,1,2,0,5595
Andrew,Martinez,176.52,France,Stracciatella,0,1,0,5950
Carolyn,Perez,174.47,France,Vanilla,0,3,0,10225
Joshua,Valdez,169.92,Canada,Mint,0,0,0,3043
Brian,Lopez,179.69,China,Stracciatella,0,1,0,10900
Mary,Chan,153.0,Australia,Vanilla,1,1,1,6702
Jill,Baker,172.04,Sweden,Chocolate,0,1,0,14557
Hector,Ramirez,162.1,USA,Pistachio,0,0,0,9756
Jeremy,Scott,179.18,Germany,Mint,0,2,0,9291
Curtis,Cannon,176.87,Sweden,Mint,1,7,0,8059
Heather,Fuentes,177.23,Australia,Stracciatella,0,0,0,6800
Christian,Wade,186.45,France,Strawberry,0,1,0,11510
Cheryl,Vazquez,181.26,China,Strawberry,0,0,0,6359
Brian,Morgan,168.43,Sweden,Vanilla,1,0,0,2745
